# first line: parking lot name, location, how many floor, remain lots
# left lines: floor number, lot number, posX, posY, hasCar
X商场停车场, 深圳市南山区, 2, 64
F1, 0, 40, 210, 0
F1, 1, 90, 210, 0
F1, 2, 150, 210, 0
F1, 3, 210, 210, 0
F1, 4, 260, 210, 0
F1, 5, 320, 210, 0
F1, 6, 380, 210, 0
F1, 7, 440, 210, 0
F1, 8, 40, 450, 0
F1, 9, 100, 450, 0
F1, 10, 170, 450, 0
F1, 11, 230, 450, 0
F1, 12, 335, 450, 0
F1, 13, 400, 450, 0
F1, 14, 450, 450, 0
F1, 15, 505, 450, 0
F1, 16, 740, 435, 0
F1, 17, 740, 485, 0
F1, 18, 40, 570, 0
F1, 19, 100, 570, 0
F1, 20, 450, 570, 0
F1, 21, 505, 570, 0
F1, 22, 720, 570, 0
F1, 23, 770, 570, 0
F1, 24, 40, 800, 0
F1, 25, 100, 800, 0
F1, 26, 170, 800, 0
F1, 27, 230, 800, 0
F1, 28, 335, 800, 0
F1, 29, 400, 800, 0
F1, 30, 450, 800, 0
F1, 31, 505, 800, 0
F1, 32, 580, 800, 0
F1, 33, 640, 800, 0
F1, 34, 720, 800, 0
F1, 35, 770, 800, 0
F1, 36, 830, 800, 0
F1, 37, 900, 800, 0
B1, 0, 40, 210, 0
B1, 1, 90, 210, 0
B1, 2, 150, 210, 0
B1, 3, 210, 210, 0
B1, 4, 260, 210, 0
B1, 5, 320, 210, 0
B1, 6, 380, 210, 0
B1, 7, 440, 210, 0
B1, 8, 40, 450, 0
B1, 9, 100, 450, 0
B1, 10, 170, 450, 0
B1, 11, 230, 450, 0
B1, 12, 335, 450, 0
B1, 13, 400, 450, 0
B1, 14, 450, 450, 0
B1, 15, 505, 450, 0
B1, 16, 740, 435, 0
B1, 17, 740, 485, 0
B1, 18, 40, 570, 0
B1, 19, 100, 570, 0
B1, 20, 450, 570, 0
B1, 21, 505, 570, 0
B1, 22, 720, 570, 0
B1, 23, 770, 570, 0
B1, 24, 40, 800, 0
B1, 25, 100, 800, 0
B1, 26, 170, 800, 0
B1, 27, 230, 800, 0
B1, 28, 335, 800, 0
B1, 29, 400, 800, 0
B1, 30, 450, 800, 0
B1, 31, 505, 800, 0
B1, 32, 580, 800, 0
B1, 33, 640, 800, 0
B1, 34, 720, 800, 0
B1, 35, 770, 800, 0
B1, 36, 830, 800, 0
B1, 37, 900, 800, 0
